Device Name,Device Type,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),"Energy Efficiency%

Col U(Power Output)/Col V(Power Input)","Power Consumption Ratio(W/MB)

Col  V(Power Input) / Col AC(Data Traffic Consumed(MB))
Note: Power used per input traffic.",Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),"Data Traffic Allocated (MB)","Data Throughput per Watt (MB/W)",
"DataTraffic Utilization%","Carbon Emission (kgCO₂)",Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message
JCEUXSTPL15003GNDR01,cisco_ios,FOC2237U0QW,C9300-24P,10.60.100.53,Jebel Ali,44,16,28,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/19, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2928,5640,51.91,0.0883,45149296,45756794,31933.723,31925.261,63858.984,62.362,9009000,11.323,0.708835,1.1832,0.0012,,,,,,,,Successfully connected to device.
SACH2US47029G01,cisco_ios,FCW2234C11G,C9300-24P,10.20.100.25,Jebel Ali,45,8,37,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/7, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2916,5640,51.7,0.5356,9990350,7471648,6275.713,4254.627,10530.34,10.284,6030000,1.867,0.174633,1.1784,0.0012,,,,,,,,Successfully connected to device.
SACH2US37016G01,cisco_ios,FOC2234Q0AJ,C9300-24P,10.20.100.33,Jebel Ali,45,7,38,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/4, GigabitEthernet1/0/9, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2916,5640,51.7,0.1769,31164231,25983138,19741.369,12147.732,31889.101,31.142,3420000,5.654,0.93243,1.1784,0.0012,,,,,,,,Successfully connected to device.
SACH1SAWDWEIGH1G01,cisco_ios,FOC2234X14R,C9300-24P,10.10.100.31,Jebel Ali,45,6,39,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/1/1, GigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2912,5640,51.63,6.7128,2021249,987657,470.342,369.837,840.18,0.82,5850000,0.149,0.014362,1.1767,0.0012,,,,,,,,Successfully connected to device.
SACH2SAWH7031G01,cisco_ios,FOC2234U13Y,C9300-24P,10.20.100.26,Jebel Ali,45,8,37,24,"Vlan200, GigabitEthernet1/0/2, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2906,5640,51.52,2.0865,4723416,2870786,1635.004,1068.082,2703.087,2.64,5220000,0.479,0.051783,1.1743,0.0012,,,,,,,,Successfully connected to device.
SABLD420G03,cisco_ios,FOC2234Q0KS,C9300-24P,10.70.100.41,Jebel Ali,45,17,28,24,"Vlan100, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2904,5640,51.49,0.0464,98525447,125902550,42064.9,79365.833,121430.733,118.585,13239000,21.53,0.91722,1.1735,0.0012,,,,,,,,Successfully connected to device.
PL.576B.PL5.GF.A-ASW,cisco_ios,FCW2236G09N,C9300-24P,10.60.100.42,Jebel Ali,44,11,33,24,"Vlan100, GigabitEthernet1/0/3, GigabitEthernet1/0/6, GigabitEthernet1/0/11, GigabitEthernet1/0/14, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2904,5640,51.49,0.4467,12467824,12540924,6295.149,6331.627,12626.776,12.331,7020000,2.239,0.179869,1.1735,0.0012,,,,,,,,Successfully connected to device.
SABLD5608G01,cisco_ios,FOC2236Z06Q,C9300-24P,10.60.100.48,Jebel Ali,44,14,30,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/18, GigabitEthernet1/0/20, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2904,5640,51.49,0.3001,18965853,19278484,9364.164,9431.245,18795.409,18.355,8829000,3.333,0.212883,1.1735,0.0012,,,,,,,,Successfully connected to device.
PL.530.PL4.GF.A-ASW1,cisco_ios,FOC2236Z06L,C9300-24P,10.60.100.40,Jebel Ali,44,14,30,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2904,5640,51.49,0.0145,178112820,354513078,62704.753,326928.884,389633.636,380.502,7290000,69.084,5.344769,1.1735,0.0012,,,,,,,,Successfully connected to device.
SACH2AMNBLD7001G01,cisco_ios,FOC2234Z0E7,C9300-24P,10.20.100.40,Jebel Ali,45,10,35,24,"Vlan200, GigabitEthernet1/0/4, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2904,5640,51.49,0.9665,5642370,4644290,3453.61,2381.659,5835.269,5.699,6120000,1.035,0.095348,1.1735,0.0012,,,,,,,,Successfully connected to device.
SACH2NTALLYG01,cisco_ios,FOC2234U143,C9300-24P,10.20.100.44,Jebel Ali,45,7,38,24,"Vlan200, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/7, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2904,5640,51.49,1.0782,5328369,4150365,3176.048,2055.112,5231.16,5.109,5040000,0.928,0.103793,1.1735,0.0012,,,,,,,,Successfully connected to device.
SACH1IC2G01,cisco_ios,FOC2234Q0DD,C9300-24P,10.10.100.26,Jebel Ali,45,8,37,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/4, GigabitEthernet1/0/8, GigabitEthernet1/0/24, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2904,5640,51.49,0.1896,29068339,24392702,18489.469,11252.432,29741.901,29.045,3510000,5.273,0.847348,1.1735,0.0012,,,,,,,,Successfully connected to device.
SAPWRBLD442G01,cisco_ios,FCW2234G143,C9300-24P,10.70.100.29,Jebel Ali,45,10,35,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2904,5640,51.49,0.1457,36114346,25069944,24213.928,14484.281,38698.209,37.791,6039000,6.861,0.640805,1.1735,0.0012,,,,,,,,Successfully connected to device.
SAPL6BTDCG03,cisco_ios,FOC2232Q12T,C9300-24P,10.60.100.15,Jebel Ali,44,15,29,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/12, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2904,5640,51.49,0.4409,12874810,13411477,6331.904,6461.195,12793.1,12.493,10620000,2.268,0.120462,1.1735,0.0012,,,,,,,,Successfully connected to device.
SAPL5BLD577G01,cisco_ios,FOC2236U0JB,C9300-24P,10.60.100.24,Jebel Ali,44,10,34,24,"Vlan100, GigabitEthernet1/0/10, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2904,5640,51.49,0.1582,25584803,25660872,17828.365,17816.491,35644.856,34.809,4419000,6.32,0.806627,1.1735,0.0012,,,,,,,,Successfully connected to device.
SAFSMETALLURGYG01,cisco_ios,FOC2234X14M,C9300-24P,10.30.100.213,Jebel Ali,45,28,17,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/1/1, GigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2904,5640,51.49,0.1399,39568610,33787675,23189.803,17137.828,40327.632,39.382,22248000,7.15,0.181264,1.1735,0.0012,,,,,,,,Successfully connected to device.
JCEUASTCH1734G01,cisco_ios,FOC2234Z0DL,C9300-24P,10.10.100.21,Jebel Ali,45,14,31,24,"Vlan100, GigabitEthernet1/0/3, GigabitEthernet1/0/6, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2904,5640,51.49,0.1901,26671448,25606795,18106.914,11556.334,29663.248,28.968,6399000,5.259,0.463561,1.1735,0.0012,,,,,,,,Successfully connected to device.
SAFSENGDEPTG01,cisco_ios,FCW2231G0CH,C9300-24P,10.30.100.118,Jebel Ali,45,18,27,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/6, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2404,4700,51.15,0.1799,31536542,21651064,15633.819,10494.969,26128.788,25.516,15840000,5.559,0.164954,0.9715,0.001,,,,,,,,Successfully connected to device.
SACH1DC2G01,cisco_ios,FOC2234Q0AC,C9300-24P,10.10.100.35,Jebel Ali,45,7,38,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2884,5640,51.13,1.4057,5699191,4598414,2337.738,1674.359,4012.096,3.918,4230000,0.711,0.094849,1.1654,0.0012,,,,,,,,Successfully connected to device.
SAPL5BLD5001G01,cisco_ios,FCW2236G07C,C9300-24P,10.60.100.27,Jebel Ali,44,8,36,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2883,5640,51.12,1.2795,3658559,3758570,2183.817,2224.188,4408.005,4.305,5130000,0.782,0.085926,1.165,0.0012,,,,,,,,Successfully connected to device.
SACH1BLD737G01,cisco_ios,FCW2233L053,C9300-24P,10.10.100.34,Jebel Ali,45,7,38,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2880,5640,51.06,0.0523,111095161,102988167,62145.067,45762.655,107907.722,105.379,5130000,19.133,2.103464,1.1638,0.0012,,,,,,,,Successfully connected to device.
SADESALB903G02,cisco_ios,FCW2232E0KG,C9300-24P,10.70.100.24,Jebel Ali,44,16,28,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/16, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2880,5640,51.06,0.1252,35917448,36312817,22514.204,22540.85,45055.054,43.999,11520000,7.988,0.391103,1.1638,0.0012,,,,,,,,Successfully connected to device.
SACH2SS7503G01,cisco_ios,FOC2234U16N,C9300-24P,10.20.100.32,Jebel Ali,45,6,39,24,"Vlan200, GigabitEthernet1/0/2, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2880,5640,51.06,16.3302,1021403,925166,112.834,232.538,345.372,0.337,5040000,0.061,0.006853,1.1638,0.0012,,,,,,,,Successfully connected to device.
JACH2785BLDGG01,cisco_ios,FCW2234E0EZ,C9300-24P,10.20.100.59,Jebel Ali,86,43,43,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/23, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/3, GigabitEthernet2/0/5, GigabitEthernet2/0/6, GigabitEthernet2/0/7, GigabitEthernet2/0/8, GigabitEthernet2/0/9, GigabitEthernet2/0/10, GigabitEthernet2/0/11, GigabitEthernet2/0/12, GigabitEthernet2/0/13, GigabitEthernet2/0/14, GigabitEthernet2/0/15, GigabitEthernet2/0/16, GigabitEthernet2/0/18, GigabitEthernet2/0/19, GigabitEthernet2/0/20, GigabitEthernet2/0/22, GigabitEthernet2/0/23, AppGigabitEthernet2/0/1, Port-channel1","2 Virtual, 56 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-715WAC,2860,5760,11280,51.06,0.1192,105181700,109551330,54761.728,39907.328,94669.056,92.45,24228000,8.393,0.390742,2.3276,0.0023,,,,,,,,Successfully connected to device.
SABLD660FIRSTFLRG01,cisco_ios,FOC2703YP7Z,C9300-48P,10.70.100.10,Jebel Ali,69,47,22,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC-P,1430,2976,5832,51.03,0.0331,158886862,119016603,106768.951,69423.492,176192.444,172.063,32229000,30.211,0.546689,1.2026,0.0012,,,,,,,,Successfully connected to device.
SAPL21BLD524AG01,cisco_ios,FOC2236Q094,C9300-24P,10.60.100.58,Jebel Ali,44,5,39,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/4, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2878,5640,51.03,0.7746,6092621,5733107,3645.852,3634.957,7280.809,7.11,3240000,1.291,0.224716,1.163,0.0012,,,,,,,,Successfully connected to device.
SACH1SAWC701HS3G01,cisco_ios,FCW2234C11R,C9300-24P,10.10.100.10,Jebel Ali,45,8,37,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2874,5640,50.96,7.982,2239271,1378051,419.541,287.052,706.593,0.69,5220000,0.125,0.013536,1.1614,0.0012,,,,,,,,Successfully connected to device.
SACH1SAWD701HS4G01,cisco_ios,FCW2234D10A,C9300-24P,10.10.100.11,Jebel Ali,45,8,37,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2872,5640,50.92,0.5328,10735542,10300461,4947.178,5638.739,10585.917,10.338,5220000,1.877,0.202795,1.1606,0.0012,,,,,,,,Successfully connected to device.
PL.529.PL3.GF.A-ASW1,cisco_ios,FOC2236Z07P,C9300-24P,10.60.100.39,Jebel Ali,44,4,40,24,"Vlan100, GigabitEthernet1/0/7, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2864,5640,50.78,50.5648,519747,228157,54.019,57.522,111.54,0.109,2340000,0.02,0.004767,1.1573,0.0012,,,,,,,,Successfully connected to device.
SABLD452G01,cisco_ios,FOC2234Q0K8,C9300-24P,10.70.100.36,Jebel Ali,45,17,28,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/7, GigabitEthernet1/0/11, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2856,5640,50.64,0.1032,46249937,34677745,34450.546,20193.764,54644.31,53.364,10728000,9.689,0.509362,1.1541,0.0012,,,,,,,,Successfully connected to device.
SAPL7BLD5628G01,cisco_ios,FCW2233G07H,C9300-24P,10.60.100.29,Jebel Ali,44,11,33,24,"Vlan100, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2856,5640,50.64,0.279,17129159,17727433,10039.314,10172.861,20212.175,19.738,7830000,3.584,0.258138,1.1541,0.0012,,,,,,,,Successfully connected to device.
JCEUASTCH27501G01,cisco_ios,FOC2234U16Y,C9300-24P,10.20.100.35,Jebel Ali,45,7,38,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/5, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2853,5640,50.59,16.6651,708476,1108362,87.121,251.31,338.432,0.33,5130000,0.06,0.006597,1.1529,0.0012,,,,,,,,Successfully connected to device.
SACH2ALSTORE787G01,cisco_ios,FCW2234E0F4,C9300-24P,10.20.100.42,Jebel Ali,45,11,34,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/22, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2838,5640,50.32,0.4445,19083041,16388022,7362.044,5327.314,12689.357,12.392,7024500,2.25,0.180644,1.1468,0.0011,,,,,,,,Successfully connected to device.
